SampleID	reads_per_file	studyID	captive_wild	diet_category_3	country	host_phylum	host_class	host_order	host_family	host_genus	host_species
Gazella_subgutturosa	6226826.0	13881	wild	herbivore	Mongolia	Chordata	Mammalia	Artiodactyla	Bovidae	Gazella	Gazella_subgutturosa
Canis_aureus	1195076.0	13881	wild	omnivore	Austria	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis_aureus
Rheomys_raptor	3775152.0	13881	wild	carnivore	CostaRica	Chordata	Mammalia	Rodentia	Cricetidae	Rheomys	Rheomys_raptor
Philander_opossum	1414746.0	13881	wild	omnivore	CostaRica	Chordata	Mammalia	Didelphimorphia	Didelphidae	Philander	Philander_opossum
Halichoerus_grypus	1439253.0	13881	wild	carnivore	UnitedKingdom	Chordata	Mammalia	Carnivora	Phocidae	Halichoerus	Halichoerus_grypus
Phalacrocorax_carbo	7212009.0	13881	wild	carnivore	Austria	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax_carbo
Parus_major	3814030.0	13881	wild	carnivore	Hungary	Chordata	Aves	Passeriformes	Paridae	Parus	Parus_major
Dendrocopos_major	1034404.0	13881	captive_wild	omnivore	Austria	Chordata	Aves	Piciformes	Picidae	Dendrocopos	Dendrocopos_major
Rhinoceros_unicornis	11316327.0	13881	captive_wild	herbivore	Austria_Nepal	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros_unicornis
Ardea_cinerea	26032354.0	13881	wild	carnivore	Austria	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea_cinerea
Manis_temminckii	1676284.0	13881	wild	herbivore	SouthAfrica	Chordata	Mammalia	Pholidota	Manidae	Smutsia	Manis_temminckii
Phocoena_phocoena	1306482.0	13881	wild	carnivore	UnitedKingdom	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena_phocoena
Phoca_vitulina	979814.0	13881	wild	carnivore	UnitedKingdom	Chordata	Mammalia	Carnivora	Phocidae	Phoca	Phoca_vitulina
Trachypithecus_hatinhensis	3678936.0	13881	wild	herbivore	VietNam	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus_hatinhensis
Hippopotamus_amphibius	7055556.0	13881	wild	herbivore	Tanzania	Chordata	Mammalia	Artiodactyla	Hippopotamidae	Hippopotamus	Hippopotamus_amphibius
Equus_caballus	10527269.0	13881	captive	omnivore	Austria	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus_caballus
Chalcites_basalis	1938521.0	13881	wild	carnivore	Australia	Chordata	Aves	Cuculiformes	Cuculidae	Chalcites	Chalcites_basalis
Mus_musculus	2040425.3333333333	13881	captive_wild	omnivore	Austria	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_musculus
Homo_sapiens	16956992.0	13881	human	omnivore	Austria	Chordata	Mammalia	Primates	Hominidae	Homo	Homo_sapiens
Leuciscus_idus	738510.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus_idus
Aepyceros_melampus	16749290.0	13881	wild	carnivore	SouthAfrica	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros	Aepyceros_melampus
Podarcis_siculus	1409298.0	13881	wild	carnivore	Croatia	Chordata	Reptilia	Squamata	Lacertidae	Podarcis	Podarcis_siculus
Potos_flavus	3539538.0	13881	wild	omnivore	CostaRica	Chordata	Mammalia	Carnivora	Procyonidae	Potos	Potos_flavus
Phascolarctos_cinereus	5548669.0	13881	captive_wild	herbivore	Australia_Austria	Chordata	Mammalia	Diprotodontia	Phascolarctidae	Phascolarctos	Phascolarctos_cinereus
Equus_hemionus	5804866.0	13881	wild	herbivore	Iran_Mongolia	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus_hemionus_kulanEquus_hemionus
Eptesicus_sagittula	2064454.0	13881	wild	carnivore	Australia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Eptesicus	Eptesicus_sagittula
Mustela_nivalis	652267.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela_nivalis
Panthera_pardus	5038598.0	13881	wild	carnivore	SouthAfrica	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_pardus
Crocidura_suaveolens	2645224.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Eulipotyphla	Soricidae	Crocidura	Crocidura_suaveolens
Panthera_leo	1863422.0	13881	wild	carnivore	SouthAfrica	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_leo
Asio_otus	2169026.0	13881	wild	carnivore	Hungary	Chordata	Aves	Strigiformes	Strigidae	Asio	Asio_otus
Anas_platyrhynchos	2500022.0	13881	wild	omnivore	Austria	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas_platyrhynchos
Vipera_ursinii	5376053.0	13881	wild	carnivore	Hungary	Chordata	Reptilia	Squamata	Viperidae	Vipera	Vipera_ursinii
Tamandua_mexicana	2574535.0	13881	wild	carnivore	Colombia	Chordata	Mammalia	Pilosa	Myrmecophagidae	Tamandua	Tamandua_mexicana
Crocodylus_moreletii	2052906.0	13881	captive	carnivore	Austria	Chordata	Reptilia	Crocodylia	Crocodylidae	Crocodylus	Crocodylus_moreletii
Ovis_aries	8301263.0	13881	captive	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Bovidae	Ovis	Ovis_aries_musimonOvis_aries
Cygnus_olor	1549510.0	13881	wild	herbivore	Hungary	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus_olor
Crocodylus_niloticus	2615290.0	13881	wild	carnivore	SouthAfrica	Chordata	Reptilia	Crocodylia	Crocodylidae	Crocodylus	Crocodylus_niloticus
Nyctalus_noctula	3036096.0	13881	wild	carnivore	Austria_Hungary	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	Nyctalus_noctula
Delichon_urbicum	5514822.0	13881	wild	carnivore	Austria	Chordata	Aves	Passeriformes	Hirundinidae	Delichon	Delichon_urbicum
Esox_lucius	2526502.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Esociformes	Esocidae	Esox	Esox_lucius
Tupaia_belangeri	3105829.0	13881	captive	omnivore	Austria	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_belangeri
Lepus_tolai	2137584.0	13881	wild	herbivore	Mongolia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus_tolai
Sander_lucioperca	19454692.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Perciformes	Percidae	Sander	Sander_lucioperca
Nycticebus_pygmaeus	4157277.0	13881	wild	omnivore	VietNam	Chordata	Mammalia	Primates	Lorisidae	Nycticebus	Nycticebus_pygmaeus
Oryctolagus_cuniculus	4173344.6666666665	13881	captive_wild	herbivore	Austria	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus_cuniculus
Procyon_lotor	2579900.0	13881	wild	carnivore	CostaRica	Chordata	Mammalia	Carnivora	Procyonidae	Procyon	Procyon_lotor
Oncorhynchus_mykiss	852968.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_mykiss
Cervus_elaphus	7826090.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus_elaphus
Vulpes_vulpes	2399350.0	13881	wild	omnivore	Austria_Germany	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes_vulpes
Pygathrix_nemaeus	2167126.0	13881	wild	herbivore	VietNam	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix_nemaeus
Nomascus_gabriellae	2776350.0	13881	wild	herbivore	VietNam	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus_gabriellae
Phasianus_colchicus	484197.0	13881	wild	herbivore	Austria	Chordata	Aves	Galliformes	Phasianidae	Phasianus	Phasianus_colchicus
Rutilus_rutilus	1001098.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Rutilus	Rutilus_rutilus
Lagopus_muta	2566758.0	13881	wild	herbivore	Austria	Chordata	Aves	Galliformes	Phasianidae	Lagopus	Lagopus_muta
Corvus_frugilegus	8487225.0	13881	wild	omnivore	Austria	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus_frugilegus
Gymnocephalus_cernua	2698272.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Perciformes	Percidae	Gymnocephalus	Gymnocephalus_cernua
Rusa_unicolor	7485010.0	13881	wild	herbivore	VietNam	Chordata	Mammalia	Artiodactyla	Cervidae	Rusa	Rusa_unicolor
Lacerta_agilis	582296.0	13881	wild	carnivore	Austria	Chordata	Reptilia	Squamata	Lacertidae	Lacerta	Lacerta_agilis
Calamanthus_cautus	4074146.0	13881	wild	carnivore	Australia	Chordata	Aves	Passeriformes	Acanthizidae	Hylacola	Calamanthus_cautus
Carassius_gibelio	4660606.0	13881	wild	omnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Carassius	Carassius_gibelio
Blicca_bjoerkna	4068610.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Blicca	Blicca_bjoerkna
Anguis_fragilis	9087990.0	13881	wild	carnivore	Austria	Chordata	Reptilia	Squamata	Anguidae	Anguis	Anguis_fragilis
Turdus_philomelos	725982.0	13881	wild	omnivore	Austria	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus_philomelos
Didelphis_marsupialis	9666908.0	13881	wild	omnivore	CostaRica	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis_marsupialis
Choloepus_didactylus	11086930.0	13881	captive	herbivore	Austria	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus_didactylus
Nomascus_siki	2454706.0	13881	wild	omnivore	VietNam	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus_siki
Mesoplodon_bidens	2156616.0	13881	wild	carnivore	UnitedKingdom	Chordata	Mammalia	Artiodactyla	Ziphiidae	Mesoplodon	Mesoplodon_bidens
Mustela_eversmannii	284702.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela_eversmannii
Phodopus_sungorus	7178678.0	13881	captive	omnivore	Austria	Chordata	Mammalia	Rodentia	Cricetidae	Phodopus	Phodopus_sungorus
Macropus_eugenii	3781964.0	13881	wild	herbivore	Australia	Chordata	Mammalia	Diprotodontia	Macropodidae	Notamacropus	Notamacropus_eugenii
Strix_aluco	1050241.0	13881	captive_wild	carnivore	Austria	Chordata	Aves	Strigiformes	Strigidae	Strix	Strix_aluco
Otolemur_crassicaudatus	2530254.0	13881	wild	herbivore	SouthAfrica	Chordata	Mammalia	Primates	Galagidae	Otolemur	Otolemur_crassicaudatus
Proechimys_guairae	6373404.0	13881	wild	omnivore	CostaRica	Chordata	Mammalia	Rodentia	Echimyidae	Proechimys	Proechimys_semispinosus
Meleagris_gallopavo	7478242.0	13881	wild	omnivore	Austria	Chordata	Aves	Galliformes	Phasianidae	Meleagris	Meleagris_gallopavo
Strix_uralensis	3024011.3333333335	13881	captive_wild	carnivore	Austria	Chordata	Aves	Strigiformes	Strigidae	Strix	Strix_uralensis
Chlorocebus_pygerythrus	5582040.0	13881	captive_wild	herbivore	Austria_SouthAfrica	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus_pygerythrus
Rallus_aquaticus	1461658.0	13881	wild	omnivore	Austria	Chordata	Aves	Gruiformes	Rallidae	Rallus	Rallus_aquaticus
Erinaceus_europaeus	4893828.0	13881	wild	omnivore	Austria_Hungary	Chordata	Mammalia	Eulipotyphla	Erinaceidae	Erinaceus	Erinaceus_europaeus
Macropus_fuliginosus	9499043.0	13881	wild	herbivore	Australia	Chordata	Mammalia	Diprotodontia	Macropodidae	Macropus	Macropus_fuliginosus
Circus_aeruginosus	3166492.0	13881	wild	carnivore	Austria	Chordata	Aves	Accipitriformes	Accipitridae	Circus	Circus_aeruginosus
Capreolus_capreolus	6153438.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Cervidae	Capreolus	Capreolus_capreolus
Ceratotherium_simum	7779902.0	13881	wild	herbivore	SouthAfrica	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Ceratotherium	Ceratotherium_simum
Ciconia_ciconia	1442004.0	13881	wild	carnivore	Hungary	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia_ciconia
Lagenorhynchus_albirostris	1459813.0	13881	wild	carnivore	UnitedKingdom	Chordata	Mammalia	Artiodactyla	Delphinidae	Lagenorhynchus	Lagenorhynchus_albirostris
Odocoileus_virginianus	13920336.0	13881	wild	herbivore	CostaRica	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus	Odocoileus_virginianus
Haliaeetus_albicilla	3288040.0	13881	wild	carnivore	Austria	Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus_albicilla
Camelus_ferus	8415694.0	13881	wild	herbivore	Mongolia	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus_ferus
Tringa_glareola	2612073.0	13881	wild	carnivore	Austria	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa_glareola
Apodemus_flavicollis	8806528.0	13881	wild	omnivore	Austria	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus_flavicollis
Zingel_zingel	361858.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Perciformes	Percidae	Zingel	Zingel_zingel
